Time,T1,T2,T3,T4,T5,T6,T7,T8,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
7/21/2022 23:25:09.009,28.004722,28.042636,31.988016,31.973674,28.016623,28.006263,28.028834,28.20268,26.996938,28.028949,28.038915,28.008788,27.031589,27.007592,26.997233,27.003478
7/21/2022 23:30:07.669,28.001084,28.019622,32.024323,31.980919,27.979841,28.01341,28.013639,28.200861,27.035932,28.018147,28.025556,28.036538,27.019541,27.020426,27.029196,27.002789
7/21/2022 23:35:06.835,28.031604,27.992019,31.96297,32.030011,28.037177,27.993822,28.035735,28.252624,27.065207,27.995543,27.999379,28.028555,27.014476,27.010149,27.032162,27.00097
7/21/2022 23:40:07.316,28.015852,28.01895,31.980755,31.99254,28.033751,28.003247,27.992462,28.239216,27.070862,28.049438,28.022212,27.993412,27.010165,27.01364,27.032408,27.011788
7/21/2022 23:45:08.756,27.999149,28.069812,32.029765,31.956676,28.005558,28.011131,28.005804,28.215252,27.050553,28.019032,28.027424,28.05152,27.007395,26.996954,27.02831,27.016066
7/21/2022 23:50:09.715,28.014459,28.045733,31.964478,32.014242,27.992954,28.014803,28.0368,28.191222,27.044718,28.003575,28.000035,28.011689,27.042653,27.02913,27.02018,27.015574
7/21/2022 23:55:10.047,28.003608,28.031293,31.979984,32.018406,28.04811,28.002624,27.985102,28.240282,27.033064,28.021081,28.009705,28.014541,27.048046,27.028196,27.009706,27.014837
7/22/2022 00:00:09.310,28.000379,28.001772,32.02765,31.977493,28.043422,28.029998,28.031998,28.225579,27.024639,28.001395,28.018835,28.030539,27.040129,27.030523,27.01364,27.007231
7/22/2022 00:05:07.720,28.011181,27.997035,31.97251,31.976952,28.014049,28.002313,28.015508,27.998281,27.011919,28.022917,28.007935,27.990233,27.034916,27.013247,27.007903,27.008821
7/22/2022 00:10:07.890,28.004313,28.056093,31.98859,32.024388,27.992036,28.022097,27.994806,27.969957,27.001101,28.00487,27.997412,28.057043,27.031113,27.007346,27.011411,27.006772
