Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
4/27/2022 01:15:09.954,28.002329,28.038767,28.019327,28.037013,27.975857,27.992216,28.039521,27.982758,27.052504,26.984415,27.032326,26.993249,26.99856,26.990807,27.061224,27.02041
4/27/2022 01:20:11.936,28.00705,28.035407,27.975612,28.002985,28.046356,27.983332,28.018557,28.028982,27.071583,27.012755,27.011559,27.035195,27.062962,27.051225,27.061421,26.991217
4/27/2022 01:25:07.516,27.991446,27.990626,28.042586,27.986627,28.047766,28.045176,27.99197,28.018344,27.034752,27.070043,26.999003,27.060388,27.058651,27.016296,27.022295,27.020738
4/27/2022 01:30:09.814,28.010279,28.02649,28.040996,28.047864,28.00192,28.027342,28.040701,27.975398,26.998495,27.058749,27.046882,27.027442,27.024557,26.982382,26.984169,27.073944
4/27/2022 01:35:07.328,27.989446,28.035669,27.999936,28.037948,27.965318,27.9773,27.977497,28.007263,26.976186,27.011854,27.031785,26.984169,26.988135,27.037178,27.014066,27.063945
4/27/2022 01:40:09.592,28.026146,27.978316,27.980676,27.990151,28.010296,28.024474,28.041308,28.042242,27.049455,26.978448,26.99161,27.052061,27.011296,27.026048,27.070829,27.038916
4/27/2022 01:45:09.606,27.987643,28.026408,28.039898,28.000215,28.054109,28.03503,27.993347,28.011689,27.063339,27.02141,27.016935,27.063798,27.062978,26.987627,27.043767,27.000986
4/27/2022 01:50:12.127,28.00782,28.032457,28.040685,28.046733,28.028998,27.994953,28.00787,27.983217,27.034605,27.065699,27.039161,27.023229,27.047406,27.013214,27.00969,26.990709
4/27/2022 01:55:08.189,28.003182,27.989675,27.99374,28.018262,27.977038,27.998477,28.026834,28.031489,26.998708,27.037653,27.013198,26.982218,27.014919,27.048324,26.984841,27.058831
4/27/2022 02:00:11.625,28.017819,28.023015,27.998068,27.987413,27.985168,28.041357,27.97253,28.025654,26.979743,27.006395,26.991512,27.050144,26.981087,27.001003,27.048177,27.070829
4/27/2022 02:05:07.368,27.995347,28.034342,28.052913,28.01559,28.044996,28.015459,28.049077,27.982004,27.056798,26.979792,27.041227,27.062748,27.03426,26.988512,27.07478,27.038162
4/27/2022 02:10:08.479,28.008411,27.988757,28.026802,28.055109,28.040931,27.975841,27.991495,27.996625,27.074731,27.045685,27.041751,27.023557,27.055192,27.051783,27.041932,27.01287
4/27/2022 02:15:09.254,28.008247,28.020737,27.979447,28.029506,28.00128,28.032981,28.005591,28.04057,27.043161,27.049717,27.006674,26.993086,27.027032,27.021361,27.004527,26.984808
4/27/2022 02:20:08.657,28.004837,28.042554,28.009328,27.980299,27.967613,28.035014,28.031129,28.02349,26.996708,27.019099,26.999183,27.032933,26.9863,26.980431,26.97876,27.052078
